url,name,category_code,date_added,date_published,data_format_version,source,authority,notes
bettingrace2013.betpassion.enetsport.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bettingwin24.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betuniq.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betway.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betwinner24.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betxgames.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betxgames.lux777.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betxsmall.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bigraisepoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bingo.azartia.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bingo.ladbrokes.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bingo.paddypower.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bingocentrale.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bingoday.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bingoexpekt.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bingoitday.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bl5000.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bl5000.starvenuscasino.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
blackdiamondcasino.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bleskpoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bo.casinoespresso.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bo.casinovittoriosa.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bomangames.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bonus.wildjack.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bonus-scommesse-online.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bonustitancasino.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bowmancasino.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bowmans.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bowmanspoker.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
box24casino.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
