status,url,category_code,category_description,date_added,source,notes
ARV,https://www.hkma.gov.hk/chi/,GOVT,Government,2022-07-15,Netalitica,
ARV,https://www.admwing.gov.hk/chi/index.html,GOVT,Government,2020-07-08,Netalitica,
ARV,https://www.tcu.gov.hk/chi/index.html,GOVT,Government,2020-07-08,Netalitica,
ARV,https://www.createhk.gov.hk/,GOVT,Government,2020-07-09,Netalitica,
ARV,https://www.smefund.tid.gov.hk/,GOVT,Government,2020-07-09,Netalitica,Page Removed
ARV,https://www.westkowloon.hk/tc/,GOVT,Government,2020-07-09,Netalitica,
ARV,https://www.ipd.gov.hk/,GOVT,Government,2020-07-09,Netalitica,
ARV,http://forum8.hkgolden.com/,GRP,Social Networking,2019-07-03,Community member,
ARV,https://lihkg.com/,GRP,Social Networking,2019-07-03,Community member,
ARV,https://www.discuss.com.hk/,GRP,Social Networking,2019-07-03,Community member,
Err,https://www.baby-kingdom.com/forum.php/,GRP,Social Networking,2019-07-03,Community member,
ARV,https://www.hkcmforum.com/,GRP,Social Networking,2020-07-09,Netalitica,
ARV,https://www.hkcnlink.hk/,GRP,Social Networking,2020-07-09,Netalitica,
ARV,http://www.hothk.com/,GRP,Social Networking,2020-07-13,Netalitica,
ARV,https://www.Uwants.com/,GRP,Social Networking,2020-07-13,Netalitica,
ARV,http://www.hkbws.org.hk/BBS/index.php/,GRP,Social Networking,2020-07-14,Netalitica,
Err,https://www.edu-kingdom.com/forum.php/,GRP,Social Networking,2020-07-14,Netalitica,
ARV,https://www.hkedcity.net/home/,GRP,Social Networking,2020-07-19,Netalitica,
ARV,http://www.catcatforum.com/,GRP,Social Networking,2020-07-20,Netalitica,
Err,https://pincong.rocks/,GRP,Social Networking,2020-07-20,Netalitica,
ARV,https://weibo.com/hk/,GRP,Social Networking,2020-07-20,Netalitica,
ARV,https://www.jkforum.net/,GRP,Social Networking,2020-07-20,Netalitica,
ARV,https://hkgalden.org/forum/bw,GRP,Social Networking,2020-07-20,Netalitica,
Err,https://g0vhk.io/,HACK,Hacking Tools,2019-07-10,OONI partner,
ARV,https://www.cybersecurity.hk/tc/index.php/,HACK,Hacking Tools,2020-07-18,Netalitica,
ARV,http://linux.vbird.org/,HACK,Hacking Tools,2020-07-19,Netalitica,
ARV,https://alwaysfreesir.blogspot.com/,HACK,Hacking Tools,2020-07-19,Netalitica,
ARV,https://www.20cn.net/,HACK,Hacking Tools,2020-07-19,Netalitica,
Err,https://cyberrange.hk/,HACK,Hacking Tools,2020-07-18,Netalitica,dead website but appears blocked on select ASNs - monitor
ARV,https://matters.news/,HOST,Hosting and Blogging Platforms,2019-08-30,OONI partner,
ARV,https://blog.ulifestyle.com.hk/,HOST,Hosting and Blogging Platforms,2020-07-08,Netalitica,
Err,http://blog.qooza.hk/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,http://csbun.github.io/blog/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,http://myblogs.asia/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
Err,https://blog.kkday.com/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://blog.westkowloon.hk/tc/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://gaplo.tech/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://girlssss.com/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://hkmsg.blogspot.com/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://ladylibertyhongkong.com/blog-2/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://npvv.org/category/blog/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://www.charlotteinwhite.com/blog/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://www.fanpiece.com/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://www.herbaceousteas.com/blog/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://www.pixnet.net/blog/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://xuite.net/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://zh-hk.wordpress.org/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,
ARV,https://blog.stheadline.com/,HOST,Hosting and Blogging Platforms,2020-07-20,Netalitica,
ARV,https://hk.iherb.com/blog/,HOST,Hosting and Blogging Platforms,2020-07-20,Netalitica,
ARV,https://unwire.hk/tag/blogger/,HOST,Hosting and Blogging Platforms,2020-07-20,Netalitica,
Err,http://www.hkflash.com/diary/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,dead website but appears blocked on select ASNs - monitor
Err,https://blog.foodbulous.com/,HOST,Hosting and Blogging Platforms,2020-07-19,Netalitica,dead website but appears blocked on select ASNs - monitor
ARV,http://www.civilhrfront.org/,HUMR,Human Rights Issues,2019-07-10,OONI partner,
ARV,https://64museum.blogspot.com/,HUMR,Human Rights Issues,2019-07-10,OONI partner,
ARV,https://www.procommons.org.hk/,HUMR,Human Rights Issues,2019-07-10,OONI partner,
Err,https://www.unhcr.org/hk/,HUMR,Human Rights Issues,2019-07-10,OONI partner,
ARV,http://www.newarrivals.org.hk/Common/Reader/Version/Show.jsp?Pid=1&Version=0/,HUMR,Human Rights Issues,2020-07-09,Netalitica,
ARV,http://www.nha.org.hk/,HUMR,Human Rights Issues,2020-07-09,Netalitica,
ARV,http://www.skhlmc-em.org/,HUMR,Human Rights Issues,2020-07-09,Netalitica,
ARV,https://hkcscheer.net/,HUMR,Human Rights Issues,2020-07-09,Netalitica,
Err,https://humanrightspressawards.org/zh-hant/,HUMR,Human Rights Issues,2020-07-09,Netalitica,
Err,http://www.chosenpower.org/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,http://www.stophk.org/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,http://www.unison.org.hk/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://aaf.org.hk/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://www.forum-asia.org/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://www.handsonhongkong.org/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://www.herfund.org.hk/tc/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://www.hongkongwatch.org/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://www.hrichina.org/en/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://www.justicecentre.org.hk/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://www.nchrd.org/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
ARV,https://www.rightsexposure.org/,HUMR,Human Rights Issues,2020-07-19,Netalitica,
